Feature,Gain
HP_MTDSC,0.09197309950216617
HP_dnsReq_perflow,0.08033047481235836
HP_DestByIP,0.06844747009022549
DP_dnsReqNo_Min,0.06618394386040732
HP_MaxResumedConnections,0.06441117946462448
DP_dnsReqRatio_Max,0.060985853885591544
PF_dnsReqNo,0.047034397796264976
HP_MeanResumedConnections,0.03956838651068765
PF_dnsRatio,0.03798274866314216
DP_dnsReqNo_Mean,0.03793566214482519
DP_HostsConnected,0.03132956085140193
DP_dnsReqRatio_Min,0.029324974890922614
DP_dnsReqRatio_Mean,0.02778951012567327
PF_dnsReqRatio,0.027764520389113007
HP_MinTDSC,0.025721512828040298
DP_dnsReqNo_Max,0.024493893467100757
PF_udpRatio,0.023466854052844634
PF_Delta_Time_mean,0.0228304999825019
PF_tcpRatio,0.021519303429661938
PF_Delta_Time_max,0.015708893876192714
PF_httpRatio,0.013381909670848598
PF_Delta_Time_min,0.012208861622477415
DP_IdleTime_Mean,0.011799892115148161
PF_Delta_Time_median,0.011466143824234816
PF_total_packets,0.01040462124102828
DP_IdleTime_Min,0.009185815667440292
PF_Mean_idleTime,0.008150711064581146
DP_RecvSentBytes_Min,0.007378954658044649
DP_RecvSentBytes_Max,0.006743082808201637
PF_Min_idleTime,0.006590818400325527
DP_RecvSentBytes_Mean,0.006255407381893172
PF_TotalBytes,0.006067215412189493
PF_RecvSentBytes,0.005990259640370458
PF_Max_idleTime,0.0053427000329675355
DP_IdleTime_Max,0.005131793453650543
DP_ResumedConnectionsNo_Max,0.0044032951292476115
DP_ResumedConnectionsNo_Min,0.003629225643989342
DP_ResumedConnectionsNo_Mean,0.003544743517987058
PF_ResumedConnectionsNo,0.002662795330646234
PF_magnitudeMax_outliers,0.00221112838867521
PF_ratio_belowAvg,0.0021477039498878853
PF_No_belowAVG,0.0014277553718265415
PF_No_aboveAVG,0.0013814463067072294
PF_magnitudeStd_outliers,0.0013007532266731405
HP_MinResumedConnections,0.001205084181643345
PF_ratio_outliers,0.0011838069946653418
PF_No_outliers,0.0011830899861368263
PF_ratio_aboveAvg,0.0009220101215534841
PF_magnitudeMin_outliers,0.0007638981681740394
PF_magnitudeMean_outliers,0.0007192419579184721
PF_encryptedRatio,0.0003417221097682314
PF_icmpRatio,7.137199735199548e-05
